Symbol,Name,Market Cap,Sector
BLS.NS,BLS International Services Limited,139503009792.0,Industrials
BLSE.NS,,12456426496.0,Industrials
BLUECOAST.NS,Blue Coast Hotels Limited,398948096.0,Consumer Cyclical
BLUEDART.NS,Blue Dart Express Limited,158312546304.0,Industrials
BLUEJET.NS,Blue Jet Healthcare Limited,125666869248.0,Healthcare
BLUESTARCO.NS,Blue Star Limited,323966992384.0,Industrials
BODALCHEM.NS,Bodal Chemicals Limited,7965962240.0,Basic Materials
BOHRAIND.NS,Bohra Industries Limited,303458464.0,Basic Materials
BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited,25909815296.0,Consumer Cyclical
BOROLTD.NS,Borosil Limited,37472968704.0,Consumer Cyclical
BORORENEW.NS,Borosil Renewables Limited,69677645824.0,Technology
BOROSCI.NS,Borosil Scientific Limited,10799824896.0,Consumer Cyclical
BOSCHLTD.NS,Bosch Limited,884070678528.0,Consumer Cyclical
BPCL.NS,Bharat Petroleum Corporation Limited,1358417756160.0,Energy
BPL.NS,BPL Limited,3369535232.0,Technology
BRIGADE.NS,Brigade Enterprises Limited,246476619776.0,Real Estate
BRITANNIA.NS,Britannia Industries Limited,1308341174272.0,Consumer Defensive
BRNL.NS,Bharat Road Network Limited,1837352320.0,Industrials
BROOKS.NS,Brooks Laboratories Limited,3726335744.0,Healthcare
BSE.NS,BSE Limited,885359050752.0,Financial Services
BSHSL.NS,Bombay Super Hybrid Seeds Limited,12691081216.0,Basic Materials
BSL.NS,BSL Limited,1457867392.0,Consumer Cyclical
BSOFT.NS,Birlasoft Limited,106137559040.0,Technology
BTML.NS,Bodhi Tree Multimedia Limited,994681600.0,Communication Services
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited,11893235712.0,Consumer Cyclical
BVCL.NS,Barak Valley Cements Limited,764741568.0,Basic Materials
BYKE.NS,The Byke Hospitality Limited,4057919488.0,Consumer Cyclical
CALSOFT.NS,California Software Company Limited,325502976.0,Technology
CAMLINFINE.NS,Camlin Fine Sciences Limited,30435938304.0,Basic Materials
CAMPUS.NS,Campus Activewear Limited,72663351296.0,Consumer Cyclical
CAMS.NS,Computer Age Management Services Limited,171897077760.0,Technology
CANBK.NS,Canara Bank,889470386176.0,Financial Services
CANFINHOME.NS,Can Fin Homes Limited,93906862080.0,Financial Services
CANTABIL.NS,Cantabil Retail India Limited,18658004992.0,Consumer Cyclical
CAPACITE.NS,Capacit'e Infraprojects Limited,28232355840.0,Industrials
